approach,psi_deg,shelf_ok,n_pockets_ok,round_cost_deg,j1_swing_deg,worst_gap_deg,flip
down,-180.0,1,4,231.8,210.7,210.7,1
down,-165.0,1,4,218.6,195.4,195.4,1
down,-150.0,1,4,205.4,181.0,181.0,1
down,-135.0,1,4,192.3,165.9,165.9,0
down,-120.0,1,4,178.0,150.4,150.4,0
down,-105.0,1,4,167.1,135.8,135.8,0
down,-90.0,1,4,154.4,120.8,120.8,0
down,-75.0,1,4,143.8,105.8,105.8,0
down,-60.0,1,4,132.3,90.8,90.8,0
down,-45.0,1,4,123.2,75.7,82.5,0
down,-30.0,1,4,116.0,60.8,82.3,0
down,-15.0,1,4,109.9,45.8,82.1,0
down,0.0,1,4,106.3,30.9,81.9,0
down,15.0,1,4,107.2,35.3,82.1,0
down,30.0,1,4,109.7,50.3,81.7,0
down,45.0,1,4,116.4,65.3,82.1,0
down,60.0,1,4,125.7,80.3,81.9,0
down,75.0,1,4,135.5,95.3,95.3,0
down,90.0,1,4,146.0,110.0,110.0,0
down,105.0,1,4,158.2,125.3,125.3,0
down,120.0,1,4,170.3,140.3,140.3,0
down,135.0,1,4,182.8,155.3,155.3,0
down,150.0,1,4,195.9,170.3,170.3,0
down,165.0,1,4,209.2,185.7,185.7,1
down,180.0,1,4,231.8,210.7,210.7,1
