0.0000, -10.0000, 1.0000, 10.0000, 10.0000, 0.0000
-0.8922, -4.1390, 10.1256, -5.0016, 15.4512, -21.1545
-6.7768, -3.2138, 7.0759, 17.2159, 24.8327, -35.0930
-8.8063, -3.6558, -12.7990, 21.2716, 8.0217, -46.1528
-10.8357, -4.0978, -32.6739, 25.3272, -8.7893, -57.2127
-18.6927, -9.9204, -44.0204, 44.3431, -0.3699, -70.0124
-19.1221, -9.1071, -62.6944, 44.4701, -20.1391, -78.9735
-27.5532, -22.2414, -64.2533, 31.4052, -33.6433, -93.8605
-25.3520, -17.1445, -84.7680, 35.7079, -51.5868, -99.2031
-36.0745, -4.3679, -98.8781, 51.8097, -50.8198, -108.3429
-27.5931, -5.3929, -115.2571, 48.0234, -72.3492, -109.6054
-20.6396, -6.2333, -128.6855, 44.9191, -90.0000, -110.6405
